Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Project Manager / Outside Sales Representative,2025-03-07,https://jobright.ai/jobs/info/67cbb620f634289cc8bb1b15?utm_source=1100&utm_campaign=pm,On Site,"Lancaster, PA","TEC The Exterior Company, LLC",51-100,"Building Maintenance,Building Material",$60K-$150K /yr,"1. A self-motivated and goal-oriented individual who thrives on building connections and solving problems
2. Willingness to learn—no prior experience is required. We’ll provide comprehensive training to help you succeed
3. Comfortable working outdoors and inspecting roofs (don’t worry, we’ll show you the ropes.)
4. A valid driver’s license is a must",not sure,
Project Administrative Assistant - BLUvera - Monroe LA,2025-03-07,https://jobright.ai/jobs/info/67cbb620f634289cc8bb17c0?utm_source=1100&utm_campaign=pm,On Site,"Monroe, LA",Mortenson,1001-5000,"Commercial Real Estate,Construction",$24-$32 /hr,"1. Excellent organizational, detail and multi-tasking skills with the ability to be flexible as needed
2. Proficient skills in Microsoft Office
3. Strong verbal and written communication skills across organizational levels and backgrounds
4. Shown positive and professional attitude with strong teamwork orientation and customer service skills, including initiative, communication, problem-solving, and leadership
5. Basic knowledge of accounting, customer service, payroll, contracts, insurance, and daily reports
...",no,
Project Manager,2025-03-07,https://jobright.ai/jobs/info/67cc1b61821e2393759d15a9?utm_source=1100&utm_campaign=pm,On Site,"Lincoln, NE",University of Nebraska-Lincoln,11-50,"Consulting,Government",$52000 /yr,"1. Master’s degree in nutrition health related field such as nutrition and dietetics, nutrition science, community nutrition and health promotion, public health, family and consumer science education, nutrition, child development, early childhood education, health sciences, or closely related area.
2. One year of relevant experience; experience may demonstrate a working knowledge of development, implementation and evaluation of health or child nutrition or Extension programs, research and data collection methods, formal state-wide and national presentations, project management of grant-funded programs, report writing, time management, teamwork in a multi-disciplinary environment, planning and organizing, written and oral communications, interpersonal relations.
3. Required computer skills include email, internet, word processing, spreadsheets and power point presentations.
4. Knowledge of community nutrition or public health or early childhood interventions, programming and assessments; assessments of teacher classroom practices and parenting practices, child dietary intake; and knowledge of techniques for engaging participants in research assessments.
5. Leadership skills to organize people and projects.
...",not sure,
Project Coordinator Associate - Senior,2025-03-07,https://jobright.ai/jobs/info/67c25a5ad2661494a617ce1f?utm_source=1100&utm_campaign=pm,On Site,"New Albany, OH",American Electric Power,10000+,"Clean Energy,Energy",$62K-$106K /yr,"1. No experience required with a qualified associate or bachelor's degree.
2. Qualified degrees must be in a related field from an accredited university or college and could include Accounting, Business, Construction Management, Engineering, Technology, or Project Management.
3. With a High School Diploma, a minimum of two (2) years' qualified experience.
4. Qualified experience includes utility specific operations knowledge/experience with a good working knowledge of work processes and procedures. Experience should be in design, operations, planning, project management, cost tracking analysis, forecasting, project budgets, working with accounting principles, and/or construction or maintenance of systems and/or equipment.
5. With a qualified Bachelor's degree, one (1) year of qualified experience; with a qualified Associate's degree, three (3) years' qualified experience; with a High School Diploma or GED, four (4) years' experience as a Project Coordinator Associate (grade 005).
...",not sure,
Project Coordinator,2025-03-07,https://jobright.ai/jobs/info/67c20b03dd35f37c8a34b845?utm_source=1100&utm_campaign=pm,Hybrid,"New York, NY",ISS Facility Services - North America,1001-5000,"Facility Management,Food and Beverage",$75K-$85K /yr,"1. Proven experience as a Project Coordinator or similar role.
2. Knowledge of construction processes, materials, and legal regulations.
3. Excellent organizational and time-management skills.
4. Strong communication and interpersonal abilities.
5. Proficiency in Microsoft Office Suite.
...",not sure,
Project Coordinator,2025-03-07,https://jobright.ai/jobs/info/67cb96335c3ea3f7729fe3a9?utm_source=1100&utm_campaign=pm,Hybrid,"Clackamas, OR",Wyld,251-500,"Consumer Goods,Food and Beverage",$70K-$90K /yr,"1. Demonstrated experience managing self (time, materials, priorities, creating systems).
2. Highly organized, able to wear multiple hats, and accomplish a multitude of tasks in fastmoving environment.
3. Strong interpersonal skills and ability to professionally interact with managers, staff and officers at all levels of the organization with diplomacy and professionalism.
4. Computer Skills: Microsoft suite (core applications), Google, Slack.
5. Language Skills: Must be able to effectively communicate in English, both verbally and written.
...",not sure,
Associate Client Project Administrator (Hybrid - Flexible Options),2025-03-07,https://jobright.ai/jobs/info/67cb7c53ac147ea74ee38e1c?utm_source=1100&utm_campaign=pm,Hybrid,"Edgewood, NY",Broadridge,10000+,"Banking,Crowdfunding",$27-$27 /hr,"1. Ability to work in a highly collaborative team environment: reliable, clear communicator, respectful, active listener and share team inbox responsibilities.
2. Ability to work well independently as well as part of a team; ability to think from a new perspective and creatively.
3. Willingness to accept responsibility or to account for one’s actions.
4. Self-starter with excellent interpersonal skills; Excellent negotiation and analytical skills.
5. Strong problem-solving skills: able to gather data, determine the root cause, solve for the future.
...",not sure,
RECORDS COORDINATOR,2025-03-07,https://jobright.ai/jobs/info/67cb867d849161df4c4fd6f1?utm_source=1100&utm_campaign=pm,On Site,"Rosemount, MN",Flint Hills Resources,1001-5000,"Agriculture,Biofuel",$30-$46 /hr,1. Minimum of 1 year working in a document management system,not sure,
Ecotoxicologist (Water Quality Planner/ Project Manager II),2025-03-07,https://jobright.ai/jobs/info/67cb63708f63fde41104ea62?utm_source=1100&utm_campaign=pm,On Site,"Seattle - Regional area, WA",NEOGOV,501-1000,"GovTech,Human Resources",$94241.26-$119456.27 /yr,"1. Bachelor’s degree or equivalent work experience in ecology, toxicology, biology, environmental engineering, environmental chemistry, environmental science or closely related field.
2. One year of work experience managing scope, schedule, budget, and workflows for scientific studies.
3. Working knowledge of R, SQL, or Python for data analysis.
4. Work experience writing technical documents describing study methods and interpreting data to answer study questions.
5. Work experience in environmental sample collection, handling, and processing.
...",no,
R&D Project Manager,2025-03-07,https://jobright.ai/jobs/info/67cb747b57e09f619c57d543?utm_source=1100&utm_campaign=pm,On Site,"Glendora, CA",OASIS Medical,101-250,"Health Care,Health Diagnostics",$90K-$125K /yr,"1. Bachelor of Science in Engineering, Biological Sciences, or a related scientific field
2. 1 - 3 years of experience in project management in the medical and healthcare industry
3. Excellent written and verbal communication skills
4. Excellent computer skills; Adept in use of Microsoft Office, Word, Excel, and Statistical Software
5. Work well independently and as a team player, eager to go the extra mile to help deliver next-generation ophthalmic products
...",no,
Project Coordinator,2025-03-07,https://jobright.ai/jobs/info/67cc2ae3457d6e10c4e3e919?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
Sacramento, CA
Walnut Creek, CA
Folsom, CA",HDR,5001-10000,"Architecture,Consulting",$23.73-$38.52 /hr,"1. Associate degree in a closely related field or combination of education and relevant experience
2. A minimum of 1 years related experience
3. Proficiency in Microsoft Word and Excel
4. An attitude and commitment to being an active participant of our employee-owned culture is a must",not sure,
Project Coordinator,2025-03-07,https://jobright.ai/jobs/info/67cb60ee3882c137edc83561?utm_source=1100&utm_campaign=pm,On Site,"Arlington, VA",Booz Allen Hamilton,10000+,"Consulting,Cyber Security",$54000-$123000 /yr,"1. 1+ years of experience in project coordination, administration, or management
2. Experience in budgeting and financial management
3. Experience using Microsoft Office programs, including Excel, Word, or PowerPoint
4. Ability to collaborate effectively within a team
5. Ability to manage multiple projects and deadlines
...",no,
Associate Communications Project Manager-Temp,2025-03-07,https://jobright.ai/jobs/info/67cb5535e9963f0b3a0f2235?utm_source=1100&utm_campaign=pm,Remote,United States,Natera,1001-5000,"Biotechnology,Genetics",$29-$36 /hr,"1. Bachelor’s degree required
2. Strong attention to detail
3. Excellent written and verbal communication skills
4. Proficient in Microsoft Office Suite (Word, Excel, PowerPoint, Outlook) and Google Suite
5. Ability to multitask, prioritize, and manage time effectively.
...",not sure,
Project Coordinator,2025-03-07,https://jobright.ai/jobs/info/67cc2ae3457d6e10c4e3e419?utm_source=1100&utm_campaign=pm,On Site,"Clackamas, OR",Wyld,251-500,"Consumer Goods,Food and Beverage",$70000-$85000 /yr,"1. Demonstrated experience managing self (time, materials, priorities, creating systems).
2. Highly organized, able to wear multiple hats, and accomplish a multitude of tasks in fastmoving environment.
3. Strong interpersonal skills and ability to professionally interact with managers, staff and officers at all levels of the organization with diplomacy and professionalism.
4. Computer Skills: Microsoft suite (core applications), Google, Slack.
5. Language Skills: Must be able to effectively communicate in English, both verbally and written.
...",not sure,
Project Administrative Assistant - Wind - Roff OK,2025-03-07,https://jobright.ai/jobs/info/67cb5baf5d60346486c5e6bd?utm_source=1100&utm_campaign=pm,Hybrid,USA,Mortenson,1001-5000,"Commercial Real Estate,Construction",$24-$32 /hr,"1. Excellent organizational, detail and multi-tasking skills with the ability to be flexible as needed
2. Proficient skills in Microsoft Office
3. Strong verbal and written communication skills across organizational levels and backgrounds
4. Shown positive and professional attitude with strong teamwork orientation and customer service skills, including initiative, communication, problem-solving, and leadership
5. Basic knowledge of accounting, customer service, payroll, contracts, insurance, and daily reports
...",no,
Project Administrative Assistant - Wind - Dana IL,2025-03-07,https://jobright.ai/jobs/info/67cb5baf5d60346486c5e6cd?utm_source=1100&utm_campaign=pm,Hybrid,USA,Mortenson,1001-5000,"Commercial Real Estate,Construction",$24-$32 /hr,"1. Excellent organizational, detail and multi-tasking skills with the ability to be flexible as needed
2. Proficient skills in Microsoft Office
3. Strong verbal and written communication skills across organizational levels and backgrounds
4. Shown positive and professional attitude with strong teamwork orientation and customer service skills, including initiative, communication, problem-solving, and leadership
5. Basic knowledge of accounting, customer service, payroll, contracts, insurance, and daily reports
...",no,
Roofing Assistant Project Manager,2025-03-07,https://jobright.ai/jobs/info/67cb42a03aae52c9210ee237?utm_source=1100&utm_campaign=pm,On Site,"Waco, TX",Cotton Holdings Inc.,501-1000,"Consumer,Logistics",$55000-$70000 /yr,"1. High school diploma or equivalent work experience
2. Commercial reconstruction project knowledge
3. Familiarity with Xactimate and the restoration process
4. Ability to travel extensively as business needs arise
5. Must have a good driving record, be at least 21 years old, and have at least three years of verifiable driving experience",not sure,
Imaging Project Coordinator - Master's/PhD,2025-03-07,https://jobright.ai/jobs/info/67804ba4080e0c416f055baa?utm_source=1100&utm_campaign=pm,Hybrid,"Denver, CO",Medpace,5001-10000,"Biotechnology,Pharmaceutical",$80K-$120K /yr,"1. Bachelor’s Degree in Biomedical Engineering
2. Excellent computer skills
3. Excellent organizational skills
4. Excellent communication skills",not sure,
Project Controller,2025-03-07,https://jobright.ai/jobs/info/67cb42a03aae52c9210ee3c1?utm_source=1100&utm_campaign=pm,On Site,"Denver, CO",PCL Construction,1001-5000,"Building Material,Civil Engineering",$75000-$98000 /yr,"1. Knowledge of engineering, construction management, and project management functions (RFIs, submittals, procurement, cost/change management, document control).
2. Proficient in Microsoft Office Suite and internal operations systems; quick to learn in-house software.
3. Effective verbal and written communication skills, adaptable across clients, supervision, and craft workers.
4. Ability to support new initiatives, identify inefficiencies, and recommend solutions.
5. Understanding of contract language, risk mitigation, and estimating methods.
...",not sure,
"Project Coordinator, Business Analyst",2025-03-07,https://jobright.ai/jobs/info/67cb42a03aae52c9210ee5ec?utm_source=1100&utm_campaign=pm,Hybrid,"Blacksburg, VA",Virginia Tech,5001-10000,"Education,Higher Education",$54000-$54000 /yr,"1. Related degree or equivalent training/experience
2. Previous experience in project coordination, research, or business development roles
3. Proficiency in utilizing software tools such as project management tools, spreadsheets, CRM systems, and virtual meeting platforms (e.g., Zoom, Microsoft Teams)
4. Demonstrated ability to manage multiple tasks and competing deadlines with accuracy and attention to detail
5. Written communication skills",no,
Project Coordinator,2025-03-07,https://jobright.ai/jobs/info/67cb191a240cd1bb5483b489?utm_source=1100&utm_campaign=pm,Hybrid,"Rockford, IL",Pella Corporation,10000+,"Lifestyle,Manufacturing",$21-$22 /hr,"1. Must have High School Diploma or GED
2. Proficiency with Microsoft® Word, Excel, Outlook and PowerPoint software applications
3. Excellent verbal and written English language skills are required
4. Good public relations, public speaking, and customer service skills
5. Ability to read, interpret, understand and explain documents such as sales processes, product specifications or warranty manuals
...",not sure,yes
Temporary Project Coordinator,2025-03-07,https://jobright.ai/jobs/info/67ae6cd5eb6db8490625e8c2?utm_source=1100&utm_campaign=pm,Hybrid,United States,Forbes,251-500,"Ediscovery,Education",$27-$27 /hr,"1. Exceptional project management skills
2. Experience using Salesforce customer relationship management platform
3. Strong communication skills to regularly update internal stakeholders and liaise with more than 2,000 external contributors in toto and, when required, individually
4. Customer and client support skills",not sure,
Administrative & Project Support Specialist,2025-03-07,https://jobright.ai/jobs/info/67caf3d25d270e0222bc2e41?utm_source=1100&utm_campaign=pm,Hybrid,"San Jose, CA",The Pipeline Group,251-500,"Consulting,Lead Generation",$50K-$60K /yr,"1. 1-2 years of experience in an administrative, executive assistant, or project support role.
2. A natural strong sense of urgency.
3. Strong organizational and time management skills.
4. Excellent written and verbal communication abilities.
5. Proficiency in email and calendar management tools (e.g., Google Workspace, Outlook).
...",not sure,
Associate Project Manager MOD,2025-03-07,https://jobright.ai/jobs/info/67c63a8b1e26ba00cca4a16f?utm_source=1100&utm_campaign=pm,On Site,"San Francisco, CA",Schindler Group,10000+,"Construction,Industrial",$88K-$110K /yr,"1. Relevant Associates Degree, BA, BS, or Construction Management degree.
2. Work experience may substitute for degree.
3. Engineering degree as a differentiator.
4. Working knowledge of Microsoft Office suite required.
5. Project management
...",not sure,
HR Project Administrator,2025-03-07,https://jobright.ai/jobs/info/67cabfcfd1204947ec16a44f?utm_source=1100&utm_campaign=pm,On Site,"Greenwood Village, CO",Spectrum,10000+,"Digital Entertainment,Internet",$50K-$80K /yr,"1. Ability to assist with the management of diverse and strategic projects
2. Basic understanding of program and project budgets
3. Basic understanding of implementing project plans, monitoring progress, resource usage and quality
4. Basic knowledge of project management disciplines
5. Bachelor's Degree in Computer Science, Business Administration, or related field or equivalent work experience
...",not sure,yes
"Sr. Associate, Project Manager - Treasury Management Product Operations",2025-03-06,https://jobright.ai/jobs/info/67ad77dafc4775fbdefb519e?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
Richmond, VA
Charlotte, NC",Capital One,10000+,"Banking,Credit Cards",$86000-$98200 /yr,"1. Bachelor’s Degree or Military experience
2. At least 1 year of Project Management or Product Management experience
3. At least 1 year of banking or Financial Services experience
4. Have the ability to quickly learn complex products through hands-on experience, review of functional and technical documentation, and analysis of data.
5. Exhibit outstanding influencing skills to effectively drive project efforts
...",no,
Associate Project Controls and Scheduling - Planner/Scheduler,2025-03-06,https://jobright.ai/jobs/info/67ca621294886494c80c6353?utm_source=1100&utm_campaign=pm,Hybrid,"Chicago, IL",Sargent & Lundy,5001-10000,"Electronics,Energy",$65K-$93K /yr,"1. Bachelor of science degree with a strong academic background, preferably with an emphasis in Engineering, Construction Management, or equivalent experience
2. An MS degree or a minimum of one year of relevant experience
3. Demonstrated ability to organize and prioritize work and work under pressure to meet deadlines
4. Computer Skills: Working knowledge in MS Office tools, with emphasis on the advanced use of MS Excel in creating and maintaining detailed, interactive spreadsheets, workbooks, and databases
5. Communication: Excellent written and verbal communication skills, with a proven ability to interact and multitask with project team members, clients, and vendors of varying position levels
...",no,
"Project Management Specialist (Remote Eligible, U.S.)",2025-03-06,https://jobright.ai/jobs/info/67ca52375dc203c4065cace6?utm_source=1100&utm_campaign=pm,Remote,"Boston, MA",GE Vernova,10000+,"Energy,Energy Efficiency",$80700 /yr,"1. Bachelor's degree from an accredited university/college.
2. Minimum 1 year of experience working on projects.",no,
Assistant Project Manager,2025-03-06,https://jobright.ai/jobs/info/67ca356611846c08f54bdcd6?utm_source=1100&utm_campaign=pm,On Site,"Arlington, VA",AECOM,10000+,"Civil Engineering,Construction",$72K-$134K /yr,"1. BA/BS in Construction Management, Civil Engineering, Architecture, or a related field or demonstrated equivalency of experience and/or education
2. Ability to work at the Client’s site or travel as needed
3. Familiarity with project management software (e.g., Kahua, Procore, Bluebeam, MS Project, Primavera 6)",no,yes
Project Coordinator,2025-03-06,https://jobright.ai/jobs/info/67ca356611846c08f54bdd96?utm_source=1100&utm_campaign=pm,Hybrid,"Multi Location
Minneapolis, MN
Denver, CO",Trissential,101-250,Consulting,$56000-$66000 /yr,"1. 1-3 years of experience in project management, coordination, or a related role
2. Strong organizational and coordination skills with the ability to track multiple workstreams
3. Experience or strong interest in technology and IT environments
4. Technical proficiency in Excel (data tracking and reporting)
5. Technical proficiency in SAP (ECC) with T-codes for financial and procurement tracking
...",not sure,
Flat Roof Specialist - Project Manager,2025-03-06,https://jobright.ai/jobs/info/67ca1b371b1697ba15046062?utm_source=1100&utm_campaign=pm,On Site,"King of Prussia, PA",Home Genius Exteriors,51-100,"Construction,Home Improvement",$65K-$75K /yr,"1. Must have a valid driver’s license and be capable of driving to, from, and in between sites as needed.
2. High school diploma or GED.
3. MUST have flat roof experience
4. 1-3 years of Project Management Experience
5. Professionalism is VERY important.
...",not sure,
Project Manager,2025-03-06,https://jobright.ai/jobs/info/67ca621294886494c80c6509?utm_source=1100&utm_campaign=pm,On Site,"Issaquah, WA",Bridge Partners,251-500,"Management Consulting,Marketing",$48K-$86K /yr,"1. 1-3 years of experience in project or program operations/management background
2. Expertise in engaging with a wide range of audiences from end users to senior management
3. Demonstrated ability to communicate effectively with a variety of audiences
4. Enterprise-level communications experience; preferably with technology clients/companies
5. Strong O365 skills; fast learner; interest in product marketing
...",not sure,
Graphics Project Manager,2025-03-06,https://jobright.ai/jobs/info/67ca0f44b359d048cc22c3dc?utm_source=1100&utm_campaign=pm,On Site,"Bentonville, AR",SGS & Co,1001-5000,"Advertising,Brand Marketing",$52K-$65K /yr,"1. Minimum of a two-year degree or equivalent experience in the graphic arts industry.
2. Must have a minimum of one year experience in project management in the package design, graphics or prepress industry and have experience working directly with clients, buyers, printers, etc.
3. Good communication skills to serve as an effective liaison between client, production, and project stakeholders.
4. Logical and conceptual thinking skills to correlate job specifications.
5. A basic understanding of computers and computer software (Outlook, Excel, Word, ProofHQ).
...",not sure,
Project Analyst,2025-03-06,https://jobright.ai/jobs/info/67c9fd9efaed535026ea7f02?utm_source=1100&utm_campaign=pm,On Site,"Lorton, VA",Noblis,1001-5000,"Environmental Consulting,Information Technology",$53K-$82K /yr,"1. Bachelor’s Degree and 0-3 years of related experience
2. Ability to travel up to 20% of the time
3. US Citizenship and DoD Secret Clearance is required to be considered for this job.
4. Program Management experience
5. Financial Management experience
...",no,yes
Project Coordinator - Electrical Distribution,2025-03-06,https://jobright.ai/jobs/info/67c0f89444772ca8cdabbfa0?utm_source=1100&utm_campaign=pm,On Site,"Denver, CO",Rexel USA,5001-10000,"Consumer Electronics,Electrical Distribution",$43K-$60K /yr,"1. High School or GED
2. No experience required
3. Desire to learn and become an expert in the field
4. Excellent interpersonal skills with the ability to interact effectively with other employees, customers, and vendors
5. Must be able to be successful and productive in a fast-paced environment
...",not sure,
Project Coordinator - Cloud,2025-03-06,https://jobright.ai/jobs/info/67c9e39aa33dc7dffa17062a?utm_source=1100&utm_campaign=pm,Hybrid,United States,Pluralsight,1001-5000,"E-Learning,EdTech",$78K-$96K /yr,"1. Experience as a project coordinator, account/customer success manager or equivalent
2. Good project management experience. Professional certification is not required
3. Strong organizational experience with an intense focus on details
4. Strong interpersonal professional communication experience, both verbal and written
5. Basic understanding of cloud computing",not sure,
Assistant Project Manager/Multi-Family,2025-03-06,https://jobright.ai/jobs/info/67cab7d42053f45efeee3f4f?utm_source=1100&utm_campaign=pm,On Site,"Bayonne, NJ","Londontown, Inc.",1-10,"Beauty,Cosmetics",$75K-$95K /yr,"1. Bachelor's degree in construction management, engineering, or related field.
2. 1 to 3 years of experience in residential ground-up development, with a focus on multifamily units.
3. Proven track record of successfully managing complex construction projects from conception to completion.
4. Strong leadership skills with the ability to motivate and inspire a team to achieve excellence.
5. Excellent communication, negotiation, and problem-solving skills.
...",not sure,
"IT PROJECT MANAGER ASSOC, FCH - IT PMO",2025-03-06,https://jobright.ai/jobs/info/67c9d2b82e7a1e30554271ed?utm_source=1100&utm_campaign=pm,Remote,United States,Froedtert Health,5001-10000,"Fitness,Health Care",$26.56-$36 /hr,"1. A minimum of one year of total project management experience is required.
2. If project management was not the specific role, that project management (as defined in above description) was a significant portion of assigned responsibilities within the one year.
3. Bachelor's Degree Or Equivalent Education/experience Is Required.
4. Able to manage small (750 Hours or less) and repeatable projects with minimal supervision and mentoring.
5. Knowledge of project management principles normally acquired through a Bachelors degree or equivalent education/experience is required.
...",not sure,
Assistant Project Manager,2025-03-06,https://jobright.ai/jobs/info/66b4ef1bb98e88c303d1e141?utm_source=1100&utm_campaign=pm,On Site,"Marion, MA",South Coast Improvement Company,11-50,"Construction,Project Management",$62K-$84K /yr,"1. AIA Billing experience
2. Procore
3. Adobe Acrobat
4. MS Excel / Spreadsheets
5. MS Project / Scheduling
...",not sure,
New Business Project Manager,2025-03-06,https://jobright.ai/jobs/info/67acd49f73788a65266cdec4?utm_source=1100&utm_campaign=pm,Hybrid,"Multi Location
San Jose, CA
Fresno, CA
Oakland, CA
Stockton, CA
Modesto, CA
Salinas, CA
San Ramon, CA",ENTRUST Solutions Group,1001-5000,"Consulting,Industrial Automation",$90K-$120K /yr,"1. Must have valid Driver’s license without restrictions
2. Bachelor's Degree, preferably in Engineering or Construction Management OR HS diploma/GED and 1 additional year of equivalent work experience.
3. Min 1 year of experience functioning in a project administration, project operations, project controls and/or project management capacity within a fast-paced environment where you owned the process life cycle(s) from beginning to end.
4. Ability to lead projects by collaborating with cross-functional teams.
5. Ability to manage short duration/ turnaround projects but high volume.
...",not sure,
Digital Project Manager,2025-03-06,https://jobright.ai/jobs/info/67ad553a50f993300b1679fc?utm_source=1100&utm_campaign=pm,Remote,"Gladstone, NJ",Precision Medicine Group,1001-5000,"Biotechnology,Health Care",$64K-$96K /yr,"1. Education: Bachelors degree in marking, communications, advertising, or similar field and or relevant work experience.
2. Work Experience: 1-3 years experience working in an agency Project Management or Digital Department, in healthcare (product launch experience a plus)
3. Experience leading large-sized digital projects which include emails, websites, apps, banner ads, and other complex technologies.",not sure,
Project Manager,2025-03-06,https://jobright.ai/jobs/info/67ad7269404009f584a66950?utm_source=1100&utm_campaign=pm,On Site,"Naperville, IL",Molex,10000+,"Electronics,Logistics",$95K-$120K /yr,"1. Bachelors Degree in Engineering, Business or a related field
2. 1+ years of experience in technical project management and new product launches
3. Experience in electronics manufacturing industry supporting automotive and/or medical device electronics applications
4. Demonstrated ability to understand business and finances and align accountabilities and efforts within area of scope.
5. Previous success working with cross functional teams
...",no,
