Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
AI-Focused Design Researcher (Chicago Hybrid),2025-06-11,https://jobright.ai/jobs/info/6849b13c6643f772ac2c9e08?utm_source=1100&utm_campaign=ml,Hybrid,"Multi Location
Chicago, IL
Illinois Remote Work",Motorola Solutions,10000+,"Cyber Security,Telecommunications",$63800-$127600 /yr,"1. Bachelor's or Master's degree in UI/UX, HCI, Design, Research, Cognitive Science, Computer Science (with a focus on AI/HCI), or a related field, or equivalent practical experience.
2. Minimum 1 Year proven experience in user research and design.
3. AI Literacy: A strong understanding of core Artificial Intelligence concepts, including Machine Learning (ML), Natural Language Processing (NLP), and Generative AI – their capabilities, limitations, and ethical considerations.
4. Problem Solver: Excellent analytical and critical thinking skills, with a knack for identifying user needs and framing them as design or research challenges.
5. User-Centric Mindset: A deep passion for understanding and advocating for the user.
...",not sure,
Embodied AI Engineer (R&D Lab),2025-06-11,https://jobright.ai/jobs/info/682d3012ebd23b94c6a77ac6?utm_source=1100&utm_campaign=ml,Hybrid,"Englewood Cliffs, NJ",LG Electronics North America,1001-5000,,$112K-$164K /yr,"1. PhD degree in CS/Robotics/EE or similar field.
2. 0~3 years of industry experience in robotic foundation models, perception, planning, control systems, etc.
3. Strong research experience in robotic foundation models or related field
4. Good understanding of recent development trends in robotic foundation model, vision-language-action models, perception models, imitation learning, etc.
5. Familiarity with policy learning methods (e.g., reward shaping and curriculum learning) and physics platforms (e.g., Genesis, Omniverse/Cosmos)
...",not sure,yes
AI-Focused Design Researcher (Chicago Hybrid),2025-06-11,https://jobright.ai/jobs/info/6849b307e105894fa23fd1c9?utm_source=1100&utm_campaign=ml,Hybrid,"Chicago, IL",Motorola Solutions,10000+,"Cyber Security,Telecommunications",$64K-$128K /yr,"1. Bachelor's or Master's degree in UI/UX, HCI, Design, Research, Cognitive Science, Computer Science (with a focus on AI/HCI), or a related field, or equivalent practical experience.
2. Minimum 1 Year proven experience in user research and design.
3. AI Literacy: A strong understanding of core Artificial Intelligence concepts, including Machine Learning (ML), Natural Language Processing (NLP), and Generative AI – their capabilities, limitations, and ethical considerations.
4. Problem Solver: Excellent analytical and critical thinking skills, with a knack for identifying user needs and framing them as design or research challenges.
5. User-Centric Mindset: A deep passion for understanding and advocating for the user.
...",not sure,
ML Research Operations Lead,2025-06-11,https://jobright.ai/jobs/info/682d371a76362e77aaea2db5?utm_source=1100&utm_campaign=ml,Hybrid,"Multi Location
NYC Metro Area
San Francisco Bay Area",Scale AI,501-1000,"Artificial Intelligence (AI),Data Collection and Labeling",$140000-$210000 /yr,"1. Bachelor’s or Master’s degree in Computer Science, Machine Learning, Data Science, or a related field.
2. 1-5 years of experience in machine learning project management or research operations roles.
3. Proven track record of successfully leading and managing ML research projects from inception to completion.
4. Experience working within multidisciplinary research teams.
5. Strong understanding of machine learning algorithms, data processing, and AI model development.
...",not sure,
Research Scientist Graduate (CV/NLP/Multimodal LLM - Trust and Safety) - 2025 Start (MS/BS),2025-06-11,https://jobright.ai/jobs/info/67d583b4c4361070aefa0bbf?utm_source=1100&utm_campaign=ml,On Site,"Seattle, WA",TikTok,10000+,"Content Creators,Content Discovery",$116K-$168K /yr,"1. Master or Bachelor degree in computer science or a related technical discipline
2. Related Research Experience at least one of the following areas: computer vision, multimodality, LLM
3. Be proficient with at least one deep learning framework (e.g. PyTorch, TensorFlow)
4. Have excellent analytical and problem-solving skills, logical thinking skills, communication and collaboration skills",not sure,yes
(General Hire)Machine Learning Engineer Graduate (TikTok Recommendation) - 2025 Start (Master),2025-06-11,https://jobright.ai/jobs/info/67bd865ba5d29d187b24a24c?utm_source=1100&utm_campaign=ml,On Site,"San Jose, CA",TikTok,10000+,"Content Creators,Content Discovery",$119K-$177K /yr,"1. Bachelor degree or above in the field of computer science or a related technical discipline
2. Proficient coding skills and strong algorithm & data structure using C++/Python or other programming language
3. Experienced in Machine Learning, familiar with at least one DeepLearning framework, e.g. PyTorch, Tensorflow.
4. Experienced in one or more of the following areas, e.g. NLP, CV, Recommender System, and Machine Learning, etc
5. Effective communication and teamwork skills",not sure,yes
Member of Technical Staff - Computational Biologist,2025-06-11,https://jobright.ai/jobs/info/682ce17a3725225d5661f27a?utm_source=1100&utm_campaign=ml,On Site,"San Francisco, CA",FutureHouse,11-50,,$100000-$500000 /yr,"1. Experience with computational biology research. We are especially interested in candidates with a range of experiences, for example including sequencing data, human genetic data or population data, imaging data, and so on.
2. Candidates who also have significant experience with AI and machine learning or with software engineering will be strongly favored.",yes,
Software Development Engineer,2025-06-10,https://jobright.ai/jobs/info/684a8179a23bf05524b454d4?utm_source=1100&utm_campaign=ml,On Site,"Seattle, WA",Amazon,10000+,"Crowdsourcing,Delivery",$100K-$200K /yr,"1. 1+ years of non-internship professional software development experience
2. Experience programming with at least one software programming language",not sure,
"Applied Scientist I, Amazon Payments Team",2025-06-10,https://jobright.ai/jobs/info/68491969adc63c4f6bb5ff0f?utm_source=1100&utm_campaign=ml,On Site,"Seattle, WA",Amazon,10000+,"Crowdsourcing,Delivery",$129K-$213K /yr,"1. Master's degree in computer science, mathematics, statistics, machine learning or equivalent quantitative field
2. Experience programming in Java, C++, Python or related language
3. Experience with SQL and an RDBMS (e.g., Oracle) or Data Warehouse
4. Experience building machine learning models or developing algorithms for business application",not sure,
Machine Learning Engineer (Junior & New Grad),2025-06-10,https://jobright.ai/jobs/info/68490650280362cdcfb771a1?utm_source=1100&utm_campaign=ml,On Site,"Multi Location
Palo Alto, CA
Cupertino, CA
San Jose, CA
Redwood City, CA
Santa Clara County, CA",Jobright.ai,1-10,"Artificial Intelligence (AI),Employment",$125K-$168K /yr,"1. Experience in one or more of the following areas: machine learning, recommendation systems, deep learning, feed, relevance and data mining.
2. Expert knowledge in Java or Scala
3. Experience with scripting languages such as Perl, Python, and shell scripts
4. MS degree in Computer Science or related quantitative field
5. Experience with machine learning frameworks such as TensorFlow, PyTorch or MxNet",not sure,yes
AI Full Stack Engineer - Experienced Associate - Commercial Technology & Innovation,2025-06-10,https://jobright.ai/jobs/info/6848b44be1dc970a9c3fa357?utm_source=1100&utm_campaign=ml,On Site,"Multi Location
FL-Miami
NY-New York
CA-San Francisco
TX-Dallas
FL-Tampa
GA-Atlanta",PwC,10000+,"Accounting,Business Development",$75000-$118000 /yr,"1. Bachelor's Degree
2. 1 year of experience",no,
"Software Engineer, ML Systems and Cloud AI, Embedded and Networking, University Graduate, PhD, Campus, 2025",2025-06-10,https://jobright.ai/jobs/info/682bc1cdb7baa5e5657147d8?utm_source=1100&utm_campaign=ml,On Site,"Multi Location
San Bruno, CA
Mountain View, CA
San Jose, CA
New York, NY
Sunnyvale, CA
Cambridge, MA",Google,10000+,"Apps,Artificial Intelligence (AI)",$141000-$202000 /yr,"1. PhD degree in Computer Science, or a related technical field, or equivalent practical experience.
2. Experience coding in C or C++.
3. Experience in embedded systems/firmware or networking.",not sure,yes
Research Scientist,2025-06-10,https://jobright.ai/jobs/info/68404b8a406e707523a90733?utm_source=1100&utm_campaign=ml,Hybrid,"San Francisco County, CA",Waabi,51-100,"Artificial Intelligence (AI),Automotive",$158K-$269K /yr,"1. Masters/PhD degree in Computer Science, AI, Machine Learning, Computer Vision, Robotics and/or similar technical field(s) of study. Exceptional Bachelor’s students will also be considered.
2. Demonstrated research experience through previous internships, work experience, research projects, and papers at top conferences.
3. Strong quantitative background and coursework in or working knowledge of linear algebra, calculus, and probability.
4. Proficient in reading and coding in Python.
5. Open-minded and collaborative team player with willingness to help others.
...",not sure,
AI & DATA ENGINEER,2025-06-10,https://jobright.ai/jobs/info/68486208ac6a3612f8c030c7?utm_source=1100&utm_campaign=ml,On Site,"955 OLD WILMINGTON RD, Fayetteville, NC, 28301, US",Fayetteville Public Works Commission,501-1000,"Electrical Distribution,Energy",$79165.72-$104300.84 /yr,"1. Proficiency in SQL, Python, and PySpark.
2. Experience with data pipeline development and AI/ML applications.
3. Knowledge of data warehousing, data lake architecture, and Oracle Fusion Analytics.
4. Familiarity with machine learning, AI, and Generative AI technologies.
5. Strong analytical, problem-solving, and communication skills.
...",no,
Machine Learning Engineer Graduate (Recommendations - USDS) - 2025 Start (MS),2025-06-09,https://jobright.ai/jobs/info/684a715959c11ab4995d917f?utm_source=1100&utm_campaign=ml,Hybrid,"Seattle, WA",TikTok,10000+,"Content Creators,Content Discovery",$119K-$168K /yr,"1. PhD or Master's degree in Computer Science, Statistics, Mathematics, or a related quantitative discipline.
2. Experience in machine learning, deep learning, data mining, or artificial intelligence.
3. Proficient in programming languages such as Python, C++, Java, or similar.",not sure,yes
BRAIN Researcher,2025-06-09,https://jobright.ai/jobs/info/66adbb3a0b96d651c11aa458?utm_source=1100&utm_campaign=ml,On Site,"Multi Location
Old Greenwich, CT
New York, United States",WorldQuant,1001-5000,Asset Management,$60K-$120K /yr,"1. Possess or expect a Bachelor’s degree or advanced degree in engineering, science, mathematics, finance or any other related field that is highly analytical and quantitative from a leading university
2. Demonstrated programming experience in one of the following (Java/C++/C/Python/MySQL/SQL Server); knowledge of UNIX preferred
3. Possess a research scientist mind-set; be a self-starter, a creative and persevering deep thinker who is motivated by unsolved challenges
4. Have a strong interest in learning about worldwide financial markets
5. Possess good communication and presentation skills in English",not sure,
Softward Engineer - LLM Applications and AI Agents,2025-06-09,https://jobright.ai/jobs/info/6847af755eb9aa8caa3b85c2?utm_source=1100&utm_campaign=ml,On Site,"San Jose, CA",TikTok,10000+,"Content Creators,Content Discovery",$119K-$177K /yr,"1. Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, Software Engineering, Electrical Engineering, or a related field
2. Solid programming skills in at least one mainstream language (e.g., Python, TypeScript, Go, Java)
3. Strong interest in generative AI technologies such as LLMs, prompt engineering, and intelligent agents
4. Experience with API development, service integration, or data interface design
5. Effective communication and collaboration skills, especially in cross-functional and multicultural environments",not sure,
Associate ML Engineer,2025-06-09,https://jobright.ai/jobs/info/6847758c24eacdd4b7f65fcb?utm_source=1100&utm_campaign=ml,On Site,"Santa Clara, CA",UST,10000+,"Consulting,Information Services",$44K-$66K /yr,"1. Bachelor’s degree in Computer Science, Data Science, Engineering, or a related field (final-year students can apply for internships).
2. Strong understanding of basic machine learning concepts (supervised/unsupervised learning, regression, classification).
3. Experience with Python and ML libraries such as scikit-learn, pandas, NumPy, etc.
4. Familiarity with Jupyter Notebooks and version control (Git).
5. Good analytical and problem-solving skills.
...",not sure,
3D Modeling Specialist - AI Trainer,2025-06-09,https://jobright.ai/jobs/info/6847270e85a6e381b395e76d?utm_source=1100&utm_campaign=ml,Remote,World Wide - Remote,Invisible Technologies,251-500,"Data Center Automation,Information Technology",$12-$20 /hr,"1. Expertise in polygonal modeling, sculpting, UV mapping, texturing, rigging, animation, and rendering.
2. Experience in film, gaming, AR/VR, or interactive environments.
3. A bachelor's or master's in 3D art, animation, game design, computer graphics, or a closely related field.
4. A professional portfolio of 3D work.
5. Clear, metacognitive communication skills—'showing your work'.
...",not sure,
AI Associate,2025-06-09,https://jobright.ai/jobs/info/6846b6c97cf7af4997e7c870?utm_source=1100&utm_campaign=ml,On Site,"Durango, CO",Fort Lewis College,,,$51K-$56K /yr,"1. Bachelor's degree (4-year degree) in any field
2. A minimum of 1 year of experience with project management in any capacity or context
3. Strong written and verbal communication skills
4. Self-starter mindset with comfort operating in ambiguous situations
5. Ability to work independently with minimal supervision and maintain self-motivation
...",not sure,
Machine Learning Engineer Graduate (Content Ecology) - 2025 Start (MS),2025-06-09,https://jobright.ai/jobs/info/6784a96cd946a977811a26d1?utm_source=1100&utm_campaign=ml,On Site,"San Jose, CA",TikTok,10000+,"Content Creators,Content Discovery",$119K-$177K /yr,"1. BS/MS Degree in Computer Science or a related major
2. Experienced in programming and algorithmic skills, proficient in languages such as Python, or C++.
3. Deep understanding of one of the following areas: NLP (Natural Language Processing), CV (Computer Vision), LLM (Large Language Models)/MLLM (Multimodal Language Models), or Search.
4. Experienced in one or more of the following topics: TensorFlow, PyTorch, or other machine learning frameworks.
5. Good team communication and collaboration skills.",not sure,yes
Machine Learning Research Scientist Graduate (Atomistic AI) - 2026 Start (PhD),2025-06-08,https://jobright.ai/jobs/info/68467d8cb2a136f94ee9648b?utm_source=1100&utm_campaign=ml,On Site,"Seattle, WA",ByteDance,10000+,"Content,Data Mining",$138K-$238K /yr,"1. Ph.D. degree in Machine Learning, Computational Materials Science, Computational Biology, or a related field is preferred.
2. Strong understanding of machine learning algorithms, with extensive hands-on experience and software development knowledge.
3. Proven track record of publications in high-impact, peer-reviewed scientific journals.
4. Demonstrated ability to conduct independent and innovative research; capable of thriving in a fast-paced, interdisciplinary environment.
5. Excellent teamwork and interpersonal communication skills, with the ability to convey complex ideas effectively.",not sure,yes
ML Engineer Graduate (TikTok E-commerce Recommendation) - 2025 Start (PhD),2025-06-08,https://jobright.ai/jobs/info/684a62079e00610331174b31?utm_source=1100&utm_campaign=ml,On Site,"Multi Location
Seattle, WA
San Jose, CA",TikTok,10000+,"Content Creators,Content Discovery",$138K-$238K /yr,"1. PhD in Computer Science, Machine Learning, Artificial Intelligence, Statistics, or a related field.
2. Strong understanding of machine learning algorithms and techniques.
3. Proficiency in programming languages such as Python, Java, or C++.
4. Solid background in data analysis and statistical modeling.
5. Familiar with machine learning frameworks and libraries (e.g., TensorFlow, PyTorch, Scikit-learn).
...",not sure,yes
Software Engineer Graduate (Ads Creative & Ecosystem) - 2025 Start (BS/MS),2025-06-08,https://jobright.ai/jobs/info/684a5ada90916af1d0d6ffdc?utm_source=1100&utm_campaign=ml,On Site,"San Jose, CA",TikTok,10000+,"Content Creators,Content Discovery",$114K-$250K /yr,"1. Bachelor's degree or above, majoring in Computer Science or related fields.
2. Experienced and demonstrated knowledge of machine learning (RecSys/NLP/CV/GE), and experience in recommendation systems, computational advertising or operational planning algorithms.
3. Solid foundation in data structures and algorithms, proficient in Python/C++/Golang languages.
4. Passion for new technologies and proven capability in analysis and problem-solving.
5. Good team player with strong communication skills; experience in project management; strong perseverance and courage to help the business to a higher level.",not sure,yes
Machine Learning Engineer - Product,2025-06-08,https://jobright.ai/jobs/info/67ee363c5cccb00a1e096500?utm_source=1100&utm_campaign=ml,Hybrid,"San Francisco, CA",Nextdoor,501-1000,"CivicTech,Communities",$195K-$251K /yr,"1. B.S. in Computer Science, Applied Math, Statistics, Computational Biology or a related field
2. 1+ years of industry experience in applying machine learning at scale
3. Experience with recommendation systems, deep learning models, feed/notification relevance, knowledge graphs, Ads, or NLP at scale is required
4. Experience building ML models for consumer-facing products
5. Proven engineering skills, with experience in writing and maintaining high-quality production code
...",not sure,
Junior AI Engineer,2025-06-08,https://jobright.ai/jobs/info/67b7ae21e3bf7d247192ff40?utm_source=1100&utm_campaign=ml,Hybrid,"Chicago, IL",Q-Centrix,1001-5000,"Health Care,Hospital",$100K-$120K /yr,"1. 1+ years of experience in LLM evaluation.
2. Strong software engineering foundation with proficiency in Python.
3. Familiarity with cloud platforms, data engineering and pipeline automation.
4. Bachelor’s degree in Computer Science, AI, a related field, or equivalent work experience.
5. Strong cross-functional collaboration skills.
...",no,
Backend Infrastructure Engineer Graduate (AI Development) - 2025 Start (PhD),2025-06-08,https://jobright.ai/jobs/info/67d43e18d51e8027ac3d48f2?utm_source=1100&utm_campaign=ml,On Site,"San Jose, CA",TikTok,10000+,"Content Creators,Content Discovery",$145K-$250K /yr,"1. Master's degree or higher in Computer Science or related fields.
2. Strong programming and problem-solving ability.
3. Experience in Deep Learning architectures (Transformer, LLM, Reinforced Learning, etc.)
4. Experience in Deep Learning Tools such as tensorflow/pytorch.
5. Experience with at least one programming language like Python/Golang or equivalent.",not sure,yes
Machine Learning Engineer Graduate (TikTok E-Commerce - Conversational AI) -2025 Start (MS),2025-06-08,https://jobright.ai/jobs/info/67d2f156e6ea62fa5ee15c1c?utm_source=1100&utm_campaign=ml,On Site,"San Jose, CA",TikTok,10000+,"Content Creators,Content Discovery",$112K-$147K /yr,"1. Currently pursuing a master's degree with majors in computer science, computer engineering, statistics, applied mathematics, data science or other related disciplines.
2. Large language models, natural language generation, machine translation, question answering, machine reading, information extraction, text mining and classification etc.
3. Familiar with at least one computer programming language, including but not limited to go/python/Java.
4. Experience of big data development, including but not limited to hive, spark.",not sure,yes
(General Hire) Machine Learning Engineer Graduate (Advertisement Team) - 2025 Start (BS/MS）,2025-06-08,https://jobright.ai/jobs/info/680a5920fceb3be13f1f33bf?utm_source=1100&utm_campaign=ml,On Site,"San Jose, CA",TikTok,10000+,"Content Creators,Content Discovery",$114K-$250K /yr,"1. Bachelor's degree in Computer Science, Computer Engineering, or other relevant majors.
2. Excellent programming, debugging, and optimization skills in one or more general purpose programming languages, including but not limited to: Go, C/C++, Python.
3. Experience with deep learning and machine learning.
4. Ability to think critically and to formulate solutions to problems in a clear and concise way.",not sure,yes
Machine Learning Engineer Graduate (eCommerce Recommendation) - 2025 Start (BS/MS),2025-06-08,https://jobright.ai/jobs/info/67d2f156e6ea62fa5ee15c3e?utm_source=1100&utm_campaign=ml,On Site,"San Jose, CA",TikTok,10000+,"Content Creators,Content Discovery",$114K-$177K /yr,"1. Current or recent graduates with a background in Computer Science, related technical field or equivalent industry experience
2. Experience in applied machine learning, familiar with one or more of the algorithms such as Collaborative Filtering, Matrix Factorization, Factorization Machines, Word2vec, Logistic Regression, Gradient Boosting Trees, Deep Neural Networks, Wide and Deep etc.
3. Experience in Deep Learning Tools such as tensorflow/pytorch
4. Experience with at least one programming language like C++/Python or equivalent
5. Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorization during employment",no,yes
"Machine Learning Engineer Graduate (Recommendations, USDS) - 2025 Start (MS)",2025-06-08,https://jobright.ai/jobs/info/680badd6382282dc43f48406?utm_source=1100&utm_campaign=ml,Hybrid,"San Jose, CA",TikTok,10000+,"Content Creators,Content Discovery",$144000-$144000 /yr,"1. PhD or Master's degree in Computer Science, Statistics, Mathematics, or a related quantitative discipline.
2. 0-1 years of experience in machine learning, deep learning, data mining, or artificial intelligence.
3. Proficient in programming languages such as Python, C++, Java, or similar.",not sure,yes
