Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Localization Editor - Spanish,2025-06-21,https://jobright.ai/jobs/info/681ee4e919eb64e6d8381629?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"Redmond, WA",Nintendo,1001-5000,"Consumer Electronics,Gaming",$27-$38 /hr,"1. One to two years related experience or professional editing certification.
2. Ability to identify possible culturalization issues and propose possible solutions.
3. Familiarity with localization translation/translation tools.
4. Awareness and understanding of market preferences for the target market.
5. Undergraduate degree in required language, Linguistics, Translation, Communications, Journalism or equivalent experience.",no,
Spanish Language Multimedia Journalist,2025-06-21,https://jobright.ai/jobs/info/68020671b0980771e453cc2f?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Yakima, WA",Sinclair Inc.,5001-10000,"Broadcasting,Content",$17-$19 /hr,"1. Spanish must be your first language, with strong English language skills.
2. Experience with live shots is required
3. Sharp news judgment
4. The ability to tell an NPPA style story
5. Excellent technical skills
...",not sure,
General Assignment Reporter,2025-06-21,https://jobright.ai/jobs/info/68523d7955ceed42753a61ae?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Visalia, CA",Gannett | USA TODAY NETWORK,10000+,"Advertising,Broadcasting",$20-$32 /hr,"1. Bachelor's degree.
2. One to two years of experience in a digital-first newsroom.
3. Strong writing, communication and time management skills.
4. Demonstrated ability to work well on deadline.
5. Demonstrated track record for keen news judgment, ethical decision-making and fair play.
...",not sure,
Licensed Assistant,2025-06-21,https://jobright.ai/jobs/info/68130073382bed64f9d4518d?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Albany, NY",UHY-US,1001-5000,"Accounting,Advice",$62K-$90K /yr,"1. Securities licenses, Series 7 and Series 66 required.
2. Experience with Morningstar, DST Vision, and NetXpro.
3. Attention to detail and willingness to learn – Accuracy in performing tasks and the ability to understand what is being communicated by asking appropriate questions to obtain correct information.
4. Active Listening - Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.
5. Reading Comprehension - Understanding written sentences and paragraphs in work related documents.
...",not sure,
"Associate Reporter, MandateWire",2025-06-20,https://jobright.ai/jobs/info/681c01caedacb1d61521deb3?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"New York, NY",Financial Times,1001-5000,"Digital Media,News",$65000-$65000 /yr,"1. Excellent and professional telephone manner
2. Ability to engage confidently with senior executives and establish rapport
3. Strong organisational skills; capable of managing time, scheduling interviews, and meeting deadlines
4. Analytical attitude with the ability to extract relevant content from complex financial information
5. Comfortable with digital tools and general data entry tasks
...",not sure,
Production Assistant - Finishing / Bindery,2025-06-20,https://jobright.ai/jobs/info/68564cac88219cad46ef51a8?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Sumner, WA",The ODP Corporation,1001-5000,"B2B,Building Material",$16.66-$24.24 /hr,"1. High School Diploma or equivalent and 1-3 years of experience.
2. Must possess the ability to effectively work as a team member in a professional work environment; must demonstrate sound judgment.
3. Must be able to plan, prioritize and implement detailed instructions in a timely and efficient manner.
4. Must possess the ability to listen actively, analyze customer and employee needs through effective communication and listening skills.
5. Must have the ability to learn new information and processes within company guidelines.
...",not sure,
Custom Framer,2025-06-20,https://jobright.ai/jobs/info/6857841700597eec3b17f42d?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Federal Way, WA
Hamilton, OH
Houston, TX
Riverdale, UT
Henderson, NV
McDonough, GA
Dallas, TX
Springfield, MO
Bay Shore, NY
O'Fallon, MO",Hobby Lobby,10000+,Retail,$19-$20 /hr,"1. Be knowledgeable with Fine Arts
2. Have Experience in Custom Molding for Picture Framing
3. Have excellent Customer Service Skills
4. Have Merchandise Display experience
5. Possess Basic Computer Skills
...",not sure,
Entertainment Host,2025-06-20,https://jobright.ai/jobs/info/68561cf0371c9555b19f2f17?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"St Pete Beach, FL",Highgate,10000+,Hospitality,,"1. High school diploma
2. Experience in event management, recreation, youth development, or a related field.
3. Strong interpersonal and communication skills, with the ability to connect with and engage a diverse guest audience.
4. Creative mindset and the ability to think outside the box to develop unique and appealing entertainment concepts.
5. Excellent organizational and multitasking abilities, with attention to detail.
...",not sure,
Luau Male Line Dancer(Casual),2025-06-20,https://jobright.ai/jobs/info/68561cf0371c9555b19f2f64?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Lahaina, HI",Highgate,10000+,Hospitality,,"1. Must attend and participate in all scheduled rehearsals and trainings for the show as required.
2. Must attend all pre-shift and post shift meetings.
3. Must perform all assigned pre-shift and post shift duties including but not limited to cleaning the dressing room and backstage areas before and after the show.
4. Responsible for ensuring the daily preparations for the Luau Show are in order, i.e., costumes and equipment.
5. Responsible to follow the daily performance schedule (line up) for each show.
...",not sure,
Production Assistant - Finishing / Bindery,2025-06-20,https://jobright.ai/jobs/info/6856158e335b55b54b62a267?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Sumner, WA",Office Depot,10000+,"Office Supplies,Retail",$16.66-$24.24 /hr,"1. High School Diploma or equivalent and 1-3 years of experience.
2. Must possess the ability to effectively work as a team member in a professional work environment; must demonstrate sound judgment.
3. Must be able to plan, prioritize and implement detailed instructions in a timely and efficient manner.
4. Must possess the ability to listen actively, analyze customer and employee needs through effective communication and listening skills.
5. Must have the ability to learn new information and processes within company guidelines.
...",not sure,
Cosmetologist,2025-06-20,https://jobright.ai/jobs/info/68560dfdc2b2cd68886d9348?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Nashville, TN",Highgate,10000+,Hospitality,,"1. Versatile and passionate beauty professional dedicated to enhancing guests' natural confidence and well-being.
2. Refined blend of technical expertise, creativity, and genuine care.
3. Ability to style hair, provide makeup, and offer skincare treatments.
4. Focus on delivering personalized results in a serene, upscale environment.
5. Polished presence and deep product knowledge.
...",not sure,
Press Assistant - 2nd Shift,2025-06-20,https://jobright.ai/jobs/info/6856007d7352b4d0c2d27b0a?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Chesapeake, VA",MCC Label,10000+,"Advertising,Communities",$18-$18.50 /hr,"1. High school diploma or general education degree (GED); or one to three months related experience and/or training; or equivalent combination of education and experience
2. Ability to communicate and interact well with others (verbally and written form); seen as a team player
3. Ability to read and understand a job ticket
4. Ability to read a ruler and understand measurements (able to pass a ruler test)
5. Ability correctable to 20/20 (able to pass an eye test)
...",not sure,
"Assistant Colorist, Licensed Cosmetologist ",2025-06-20,https://jobright.ai/jobs/info/6855fe462701a7e0b0ee459f?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Eastchester, NY
New York City, NY (Flatiron)
Ashburn, VA
New York City, NY",Madison Reed,501-1000,"Beauty,Consumer Goods",$20.50-$29.50 /hr,"1. Active cosmetology license in the state in which you are applying.
2. Entry level experience in any customer service or retail sales environment.
3. Effective communication, strong problem solving and people skills, in a fast-paced retail or salon environment.
4. Comfortable operating point of sale systems.
5. Fluency in English.",not sure,
"Colorist, Licensed Cosmetologist",2025-06-20,https://jobright.ai/jobs/info/6855fe462701a7e0b0ee45f5?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"New York City, NY (Lennox Hill/Third Ave)",Madison Reed,501-1000,"Beauty,Consumer Goods",$20.50-$29.50 /hr,"1. Active cosmetology license in the state in which you are applying.
2. 1+ year of experience as a colorist behind the chair within a salon environment.
3. Effective communication, strong problem solving and people skills, in a fast-paced retail or salon environment.
4. Comfortable operating point of sale systems.
5. Fluency in English.",not sure,
Associate Producer,2025-06-20,https://jobright.ai/jobs/info/6855fcb8ea0302d17cb1557e?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Tampa, FL",Fox Television Stations,5001-10000,"Association,Broadcasting",$25-$27 /hr,"1. Solid writers in broadcast style
2. Ability to create content for digital platforms
3. Assist producers, reporters, anchors and the digital content team with broadcast and digital production
4. Solid news judgement and journalistic ethics
5. Ability to effectively communicate and meet deadlines
...",not sure,
Deli Production Team Member,2025-06-20,https://jobright.ai/jobs/info/685631ba8feef3277b1e23b1?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Jamestown, NM
Cokeville, WY
Hobbs, NM
Wildwood, FL
Peculiar, MO
Junction, TX
Beach, ND
Kansas City, MO
San Antonio, FL
Wytheville, VA
Van Horn, TX",Pilot Flying J,10000+,"Oil and Gas,Travel",$13-$18 /hr,"1. Highly motivated self-starters
2. Ability to work as part of a team
3. Able to lift 50 pounds and walk/stand most of the day
4. Ability to work a flexible schedule of nights, days, weekends, and holidays",not sure,
Deli Production Team Member,2025-06-20,https://jobright.ai/jobs/info/685631ba8feef3277b1e23b3?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
El Paso, TX
Hebron, OH
Hebron, IN
Fort Stockton, TX
Millersport, OH
Fargo, ND
Odessa, TX
Orla, TX
Kermit, TX
Alexandria, MN
Salina, KS
Jeffersonville, OH
Burbank, OH
Midland, TX
Remington, IN
St George, UT",Pilot Flying J,10000+,"Oil and Gas,Travel",$12-$17 /hr,"1. Highly motivated self-starters
2. Ability to work as part of a team
3. Able to lift 50 pounds and walk/stand most of the day
4. Ability to work a flexible schedule of nights, days, weekends, and holidays",not sure,
Homemaker-Home Health Aide (HHA) overnight cases,2025-06-20,https://jobright.ai/jobs/info/6855f78506859721cfe6e180?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"Dover, NJ 07801 | 40.887579632 | -74.552804935",BAYADA Home Health Care,10000+,"Health Care,Medical",$16-$18 /hr,"1. Active N.J. Homemaker - Home Health Aide license listed in good standing with the board
2. Entry Level Aide's Welcomed!",not sure,
"Estee Lauder- Freelance - California, MD",2025-06-20,https://jobright.ai/jobs/info/6855ec309f1705df4dec8bae?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"California, United States",The Estée Lauder Companies Inc.,10000+,,$21.60-$32.40 /hr,"1. All applicants must be able to demonstrate the ability to provide inspirational, authentic and personalized customer service
2. Ability to work retail hours including days, nights, weekends and special events in a fast-paced work environment
3. Previous experience with retail point-of-sale software
4. Applicants must be able to provide proof of right to live and work in the country if invited to attend for interview
5. Applicants with amateur level experience who are able to demonstrate a high level of creative and technical expertise are welcome",not sure,
"Estee Lauder- Freelance - Hagerstown, MD",2025-06-20,https://jobright.ai/jobs/info/6855ec309f1705df4dec8bac?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Hagerstown, MD",The Estée Lauder Companies Inc.,10000+,,$21.60-$32.40 /hr,"1. All applicants must be able to demonstrate the ability to provide inspirational, authentic and personalized customer service
2. Ability to work retail hours including days, nights, weekends and special events in a fast-paced work environment
3. Previous experience with retail point-of-sale software
4. Applicants must be able to provide proof of right to live and work in the country if invited to attend for interview",not sure,
Homemaker-Home Health Aide (HHA),2025-06-20,https://jobright.ai/jobs/info/6855e4a6ee5f3a74d46ce6a9?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"Dover, NJ 07801 | 40.887579632 | -74.552804935",BAYADA Home Health Care,10000+,"Health Care,Medical",$16-$18 /hr,"1. Active N.J. Homemaker - Home Health Aide license listed in good standing with the board
2. Entry Level Aide's Welcomed!",not sure,
Homemaker/HHA needed for 40 hour case Mond-Frid ,2025-06-20,https://jobright.ai/jobs/info/6856ab26cc3664d0f873d274?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"Sussex, NJ 07461 | 41.227635864 | -74.594900785",BAYADA Home Health Care,10000+,"Health Care,Medical",$16-$18 /hr,"1. Active N.J. Homemaker - Home Health Aide license listed in good standing with the board
2. Entry Level Aide's Welcomed!",not sure,
" Assistant Colorist, Licensed Cosmetologist",2025-06-20,https://jobright.ai/jobs/info/6855dcf03c3931121eaf625b?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Denver, CO",Madison Reed,501-1000,"Beauty,Consumer Goods",$18.50-$19.50 /hr,"1. Active cosmetology license in the state in which you are applying.
2. Entry level experience in any customer service or retail sales environment.
3. Effective communication, strong problem solving and people skills, in a fast-paced retail or salon environment.
4. Comfortable operating point of sale systems.
5. Fluency in English.",not sure,
Body Shop Detailer,2025-06-20,https://jobright.ai/jobs/info/6855cbf9a54f0af6ec7a283a?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Klamath Falls, OR",Lithia & Driveway,10000+,"Automotive,Retail",$16-$16 /hr,"1. Prior automotive detailing experience
2. Reliable, shows up ready to work
3. Attention to detail and safety protocols
4. Knowledgeable on products, features and the industry
5. Ability to work independently
...",not sure,
"Production Associates - Mishawaka, IN",2025-06-20,https://jobright.ai/jobs/info/684b8a9e86dff4492d60edb6?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Mishawaka, IN",WestRock Company,10000+,"Commercial,Manufacturing",$19-$24 /hr,"1. Ability to operate various manufacturing equipment, follow specific direction, operate power hand tools, and other duties as assigned.
2. Maintain a clean work environment.
3. Ability to read a tape measure, basic math, and computer skills.
4. Ability to work safely and comply with all safety regulations.
5. Ability to lift, push or pull 50lbs, navigate stairs, stand, walk, bend, and kneel throughout the entire shift.
...",not sure,
"Assistant, Music (Artist Services)",2025-06-20,https://jobright.ai/jobs/info/6855bc5690528a0f6536152c?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Los Angeles, CA",Wasserman,1001-5000,"Advertising,Marketing","$47,500-$47,500 /yr","1. The ideal candidate is detail-oriented, highly organized, and passionate about the music and entertainment industry.
2. 1-2 years prior experience in an assistant role at a management company, record label, brand or music agency.
3. Excellent communication, presentation, and interpersonal skills.
4. Position requires demonstrated poise, tact and confidentiality.
5. Work requires excellent attention to detail, ability to prioritize and meet deadlines across a large, diverse roster of artists.",not sure,
"Producer, Associate",2025-06-20,https://jobright.ai/jobs/info/6855b5b75d9071b8bb1df225?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"San Diego, CA","Nexstar Media Group, Inc.",10000+,"Broadcasting,Information Services",$24-$24 /hr,"1. Must be able to work well under extreme pressure and deadlines
2. Must have solid news judgment
3. Must be a consistent and accurate writer
4. Must interact positively and productively with others and take feedback
5. Must have strong organizational skills and be detail-oriented
...",not sure,
"Game Curator, Bleacher Report (Temporary)",2025-06-20,https://jobright.ai/jobs/info/6855b2d883e9312330058ad7?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
New York, NY
San Francisco, CA",Warner Bros. Discovery,10000+,,$44K-$81K /yr,"1. Passionate sports fan, you live and breathe sports and want to make it a career
2. This role operates on nights and weekends, we work when sports happen
3. Frequent user of the B/R app, understanding how it works as a fan and user
4. Awareness of B/R’s voice. When news breaks, be expected to know how B/R reacts
5. Avid consumer of sports content from multiple publishers
...",not sure,
Standard Cook ,2025-06-20,https://jobright.ai/jobs/info/6855a65fc9941f75c95a18ec?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"New York City, NY",Madison Square Garden Entertainment Corp.,5001-10000,"Media and Entertainment,Sports",$27.75-$27.75 /hr,"1. Must have exceptional proven cooking experience
2. A food handler's license required
3. Ability to pay attention to details: adherence to specific ingredients and measurement needed for various menus
4. Must have problem solving skills and the ability to make quick decisions
5. Must have excellent guest service skills
...",not sure,
Tour Guide Assistant ,2025-06-20,https://jobright.ai/jobs/info/6855a65fc9941f75c95a18a9?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"New York City, NY",Madison Square Garden Entertainment Corp.,5001-10000,"Media and Entertainment,Sports",$18-$18 /hr,"1. Strong public speaking and communication skills required with a focus on customer service.
2. Must possess excellent memorization and time management skills with the ability to articulate and inject energy and enthusiasm into presentation.
3. Ability to adapt to requests and changes to the tour script, route and assignment on short notice.
4. Good organizational skills to check in groups and collect tickets as necessary.
5. General physical requirements such as lifting 25 lbs., standing for long periods, walking long distances, bending and constant motion is often required.
...",not sure,
"Associate Producer, Talk Programming - POTUS",2025-06-20,https://jobright.ai/jobs/info/685638e73c3306bc38488c45?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Washington, DC",SiriusXM,1001-5000,"Broadcasting,Internet Radio",$19-$19 /hr,"1. At least one-year experience running an audio board and screening phone calls in a live radio environment
2. Knowledge of broadcast systems and experience with daily show production
3. Familiarity with politics and strong journalism skills
4. Ability to handle multiple tasks in a fast-paced environment; ability to work under deadline pressure
5. Interpersonal skills and ability to interact and work with staff at all levels
...",no,
"Production Coordinator (Apparel, Accessories, Toys, Bundle Packs)",2025-06-20,https://jobright.ai/jobs/info/68559e79331b3ad771900627?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"New York, NY",CultureFly,51-100,"Apparel,Consumer Goods",$45K-$55K /yr,"1. Assist in coordinating the production activities, including issuing purchase orders, sharing prices with necessary team members, logging in samples.
2. Collaborate with different team members on best way to achieve a high quality design and artwork on our product
3. Maintain accurate and up-to-date records of production-related information, such as prices, delivery times, sample dates
4. Prepare and maintain production-related documents, such as production reports, purchase orders, and shipping records.
5. Generate accurate production reports and provide timely updates on production progress to relevant stakeholders
...",not sure,
"Estee Lauder - Freelancer - Erie, PA",2025-06-20,https://jobright.ai/jobs/info/68559745efb3528d2674a20b?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Erie, PA",The Estée Lauder Companies Inc.,10000+,,$21.60-$32.40 /hr,"1. All applicants must be able to demonstrate the ability to provide inspirational, authentic and personalized customer service
2. Ability to work retail hours including days, nights, weekends and special events in a fast-paced work environment
3. Previous experience with retail point-of-sale software
4. Applicants must be able to provide proof of right to live and work in the country if invited to attend for interview
5. Applicants with amateur level experience who are able to demonstrate a high level of creative and technical expertise are welcome",not sure,
Project Archivist,2025-06-20,https://jobright.ai/jobs/info/68558dd082e739e7aac38523?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,US | WA | Kent | 19826 Russell Road South,Iron Mountain,10000+,"Big Data,Cloud Storage",$47000-$58800 /yr,"1. Bachelor’s degree with strong experience in archival studies, history, or library and information science and significant knowledge of current archival theory and methods relating to preservation, arrangement, and processing OR ALA accredited Masters of Library and Information Science and 1+ years’ experience processing large multi-format archival collections
2. Ability to be receptive to changing priorities and to manage multiple work processes and projects simultaneously.
3. Ability to maintain a high level of detail and accuracy in management and completion of processing tasks.
4. Ability to work collaboratively and in a self-directed capacity, with a solutions-oriented focus.
5. Superior interpersonal and communication skills.
...",no,
"Assistant Colorist, Licensed Cosmetologist ",2025-06-20,https://jobright.ai/jobs/info/6855e4a6ee5f3a74d46ce7e3?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Coral Gables, FL
Coconut Creek, FL",Madison Reed,501-1000,"Beauty,Consumer Goods",$18-$27 /hr,"1. Active cosmetology license in the state in which you are applying.
2. Entry level experience in any customer service or retail sales environment.
3. Effective communication, strong problem solving and people skills, in a fast-paced retail or salon environment.
4. Comfortable operating point of sale systems.
5. Fluency in English.",not sure,
Assistant Editor,2025-06-20,https://jobright.ai/jobs/info/66439bc9fa424e84f20d4c37?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"Cranbury, NJ",MJH Life Sciences®,501-1000,"Health Care,Information Services",$42K-$52K /yr,"1. Strong writing skills with the ability to produce quick news stories and Q&A articles.
2. Proficiency in filming, editing, and formatting video interviews.
3. Basic understanding of search engine optimization (SEO) principles.
4. Demonstrated ability to identify, interact with, and interview key opinion leaders.
5. Familiarity with social media platforms and their usage for content promotion.
...",not sure,
Star Wars Associate Producer,2025-06-20,https://jobright.ai/jobs/info/6838a631fd63d5b213932027?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"New York, NY",Fanatics,10000+,"eSports,Manufacturing",$64K-$88K /yr,"1. A passion for all things Star Wars — from iconic heroes of the original trilogy, to the legends of the expanded universe, to the newest Force-sensitive rising stars.
2. Attention to detail. You will be creating content in our content management system and must enter data quickly and accurately.
3. Strong organizational skills. You will be managing multiple concurrent projects, each in various stages of development.
4. Strong writing ability. You can clearly and concisely express complex sales details to users so that they understand product offerings, pricing, and mechanics.
5. Great collaborator. You are a team player capable of clear and constant communication.
...",not sure,
Detailer,2025-06-20,https://jobright.ai/jobs/info/6855820068a7e4535b6a66fa?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Klamath Falls, OR",Lithia & Driveway,10000+,"Automotive,Retail",$15.50-$15.50 /hr,"1. Prior automotive detailing experience
2. Reliable, shows up ready to work
3. Attention to detail and safety protocols
4. Knowledgeable on products, features and the industry
5. Ability to work independently
...",not sure,
Production Associate - Utility IV - 2nd Shift,2025-06-20,https://jobright.ai/jobs/info/68554fd905ab226186d80ee6?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Newburgh, NY",Cintas,10000+,"Compliance,Manufacturing",$18.40-$22.98 /hr,"1. Must be authorized to work in the US.
2. Must be 18 years of age or older.
3. Must adhere to attendance policy.
4. Must be willing to work in a safe proximity to other people for extended periods of time.
5. Must be willing to work in a fast-paced, schedule driven environment where there are time pressures to complete work quickly.
...",no,
Production Associate - Utility IV - 2nd Shift - $19.00/Hour,2025-06-20,https://jobright.ai/jobs/info/6839a62db859d9a3389ad25f?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Lexington, KY",Cintas,10000+,"Compliance,Manufacturing",$19-$19 /hr,"1. Must be authorized to work in the US.
2. Must be 18 years of age or older.
3. Must adhere to attendance policy.
4. Must be willing to work in a safe proximity to other people for extended periods of time.
5. Must be willing to work in a fast-paced, schedule driven environment where there are time pressures to complete work quickly.
...",no,
Production Associate - Mat Roller - $15.00Hour,2025-06-20,https://jobright.ai/jobs/info/6838f965dbcb3bb5fade27ab?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Lansing, MI",Cintas,10000+,"Compliance,Manufacturing",$15-$15 /hr,"1. Must be authorized to work in the US.
2. Must be 18 years of age or older.
3. Must adhere to attendance policy.
4. Must be willing to work in a safe proximity to other people for extended periods of time.
5. Must be willing to work in a fast-paced, schedule driven environment where there are time pressures to complete work quickly.
...",no,
